game,category,positive_flaw_pct,negative_flaw_pct,compensation_gap
God of War,Story & Quest Engagement,78.53,59.67,18.86
God of War,Character & Relationship Attachment,46.23,37.04,9.19
God of War,World & Genre Immersion,41.91,34.16,7.75
God of War,Emotional Payoff,16.32,10.29,6.03
God of War,Theme & Meaning,12.19,12.76,-0.57
RDR2,Story & Quest Engagement,72.26,54.76,17.5
RDR2,Character & Relationship Attachment,43.32,30.56,12.76
RDR2,World & Genre Immersion,55.68,45.24,10.44
RDR2,Emotional Payoff,26.63,5.95,20.68
RDR2,Theme & Meaning,32.96,15.87,17.09
The Witcher 3,Story & Quest Engagement,80.2,59.49,20.71
The Witcher 3,Character & Relationship Attachment,45.27,34.36,10.91
The Witcher 3,World & Genre Immersion,66.38,51.28,15.1
The Witcher 3,Emotional Payoff,16.81,6.67,10.14
The Witcher 3,Theme & Meaning,32.19,15.9,16.29
